id,desc,createTime,video.duration,author.verified,music.title,stats.playCount,stats.diggCount,stats.commentCount,stats.shareCount,hashtagFreqFeature,desc_len,num_hashtags,verified,hour,weekday,is_original_sound,engagement_score
6851011867473710341,20” Fuel Rebel / 33” Atturo MT Gettin mounted up! -@rimzone #southerntruckz #dieseltrucks #truckporn #wheels #fyp #chevy #tires #4x4diesels,2020-07-19 02:25:06,21,False,soundcloud is crazed,6773,694,0,3,0,139,8,0,2,6,0,0.0009501643488914302
6850981640261422341,Would you drive this? 🤷‍♂️Tag owner #southerntruckz #diesels #dieseltrucks #wheels #truckporn #diesels #ford #chevy #tires #yolo #4x4diesels #fyp,2020-07-19 00:27:48,7,False,original sound,2005,240,5,14,0,145,12,0,0,6,1,0.001087336281712837
6850817879047163142,"Too much sauce, broke my hip. 💎 -@perfectionwheels #southerntruckz #fyp #truckporn #dieseltrucks #LetsFaceIt #4x4diesels #ford #diesels #ford",2020-07-18 13:52:19,12,False,unbothered,7026,1277,3,6,0,141,9,0,13,5,0,0.001903174506955125
6850618487077932293,Wouldn't have been able to do it with a Chevy 🤷🏼‍♂️ #southerntruckz #fyp #truckporn #dieseltrucks #diesels #wheels #ford #chevy #tires #vibezone,2020-07-18 00:58:35,8,False,original sound,1192,61,0,1,0,144,10,0,0,5,1,0.00011609640210732744
6850148112770616581,Backing out on a new set of 22x12 @hardcoreoffroadwheels wrapped in 33” Venom x/t tires! -@perfectionwheels #southerntruckz #4x4diesels #dieseltrucks,2020-07-16 18:33:16,13,False,Obnimi - Callmearco Remix,3201,309,1,1,0,149,3,0,18,3,0,0.0005677879421250621
6849890825468480774,Caption this! 😳 ALSO head over and CHECK out @goodfair for sick clothing! 😎 #goodfair #nonewthings #goodfair500 #southerntruckz #dieseltrucks,2020-07-16 01:54:53,12,False,what they want by russ,4159,311,7,10,0,141,5,0,1,3,0,0.0015055475536847795
6849738375667256582,Lowered or lifted? 🤔 thoughts? #southerntruckz #dieseltrucks #4x4diesels #wheels #truck #ford #truckporn #fyp #foryou,2020-07-15 16:03:17,13,False,original sound,2925,413,34,1,0,117,9,0,16,2,1,0.005218328534941085
6849532076111285510,Thoughts? 🤔🔥@jonathan_p_bryan #tiktoktaughtme #southerntruckz #4x4diesels #dieseltrucks #wheels #truck #chevy #tires #diesels #truckporn #yolo,2020-07-15 02:42:46,16,False,d o l c e a n d g a b b a n a,2827,387,3,14,0,142,11,0,2,2,0,0.0009777271976369735
6849487810487979270,Silverado rolling on Forgiatos! 🔥 #southerntruckz #4x4diesels #dieseltrucks #wheels #truck #chevy #ford #tires #diesels #truckporn #yolo,2020-07-14 23:50:59,8,False,Obnimi - Callmearco Remix,45200,2645,19,68,0,136,11,0,23,1,0,0.007566835400084092
6849419261924871430,Pretty fire if you ask me 🤣😂 tag owner #southerntruckz #4x4diesels #dieseltrucks #truck #chevy #wheels #ford #diesels #tires #truckporn #yolo #fyp,2020-07-14 19:24:57,11,False,original sound,5158,279,2,6,0,146,12,0,19,1,1,0.0008078840227252275
6849155786338290950,Lowered single cab Silverado! 😈#BeatsDaisyChallenge #VibeZone #southerntruckz #wheels #dieseltrucks #diesels #truck #diesel #colorcustomizer,2020-07-14 02:22:34,5,False,unbothered,3540,425,8,4,0,140,9,0,2,1,0,0.001674363435271284
6849114912946539781,Reply to @os_xvibez Fantastic! 😎 Y’all have seem to love the wheel videos recently! Trying my best to find more! -@rimzone- Those Fuel Contra are 🔥,2020-07-13 23:43:57,7,False,Address It (Bitch I Got It Out Muscle),4565,513,1,5,101,147,0,0,23,0,0,0.0008368955288130338
6849033672947993862,Clean looking Chevy C30! 😎 #TikTokTaughtMe #southerntruckz #4x4diesels #dieseltrucks #4x4diesels #wheels #truck #chevy #ford #tires #diesels,2020-07-13 18:28:40,9,False,EGO,6961,1045,4,22,0,140,11,0,18,0,0,0.00193995378182103
